question,answer,communication,confidence,problem_solving,teamwork
"Describe a situation where you had to take a bold decision.","I had to convince management to invest in a new supplier despite initial hesitation. I presented data, risk analysis, and benefits. They approved and it improved delivery times.",5,5,4,4
"Describe a situation where you had to take a bold decision.","Ahh, I once suggested a different approach in a project review meeting. Initially people disagreed, but after explaining step by step, everyone agreed. The project succeeded.",5,5,4,5
"Describe a situation where you had to take a bold decision.","I recommended a client solution which was unusual but fit their needs. My manager approved, client happy.",4,5,4,4
"Describe a situation where you had to take a bold decision.","Uh, I told my team to skip a minor step in a report to meet deadline. Some were unsure, but it worked out.",3,3,3,3
"Describe a situation where you had to take a bold decision.","I suggested delaying a campaign due to market conditions. Management initially resisted, but data convinced them.",4,4,4,3
"Describe a situation where you had to take a bold decision.","Hmm, I approved a minor budget increase without consulting higher-ups. It helped project succeed.",3,4,3,3
"Describe a situation where you had to take a bold decision.","I once spoke up against a popular choice in team discussion. At first hesitant, I explained my reasoning and team reconsidered.",4,4,3,4
"Describe a situation where you had to take a bold decision.","Uh, I told my colleague we should skip a task. They didn’t agree but did it anyway. Result was okay.",2,2,2,2
"Describe a situation where you had to take a bold decision.","Ahh, I recommended hiring an intern from outside our network. Risky choice, but it worked well.",4,4,3,3
"Describe a situation where you had to take a bold decision.","I challenged a traditional process and suggested online approval instead of paper. Management liked it.",5,5,4,4
"Describe a situation where you had to take a bold decision.","I decided to present my idea directly to client instead of going through manager. Client liked it.",5,5,4,3
"Describe a situation where you had to take a bold decision.","Uh, I changed team shifts without informing all members. Caused confusion. Learned a lesson.",1,1,1,1
"Describe a situation where you had to take a bold decision.","I once skipped some steps to meet deadline. Team handled it but it was risky.",2,2,2,2
"Describe a situation where you had to take a bold decision.","Ahh, I approved a minor change in workflow. Small but effective decision.",3,3,3,3
"Describe a situation where you had to take a bold decision.","I convinced senior manager to adopt my idea despite initial rejection. It helped project efficiency.",5,5,4,4
"Describe a situation where you had to take a bold decision.","I suggested a new reporting format, initially resisted but eventually adopted. Improved clarity.",4,4,3,4
"Describe a situation where you had to take a bold decision.","Uh, I recommended trying a new vendor. It failed partly, ahh, learned from mistake.",2,3,2,3
"Describe a situation where you had to take a bold decision.","I presented a new software to team; some were hesitant, but after demo everyone agreed.",4,4,3,4
"Describe a situation where you had to take a bold decision.","I once volunteered to lead a risky project. Everyone supported me, project succeeded.",5,5,4,5
"Describe a situation where you had to take a bold decision.","Hmm, I suggested a minor change to schedule. People ignored, no harm done.",2,2,2,2
"Tell me about a time you had to step out of your comfort zone.","Ahh, I volunteered to present our annual report to senior management. I was nervous initially, but I prepared slides, rehearsed and delivered confidently.",5,5,4,4
"Tell me about a time you had to step out of your comfort zone.","I had to lead a client meeting alone; usually my manager leads. I prepared key points, anticipated questions, and the client appreciated my clarity.",5,5,4,4
"Tell me about a time you had to step out of your comfort zone.","Uh, I joined a new team and had to handle unfamiliar software. I read manuals and asked questions to learn quickly.",4,4,3,3
